,chl_a,chl_a,site,sample_date,443,493,560,665,703,740,780,834,864,SA,Max.depth,pct_dev,pct_ag
34,0.3,0.3,124.0,17.0,0.0105437655,0.01056268,0.010480129,0.006786064,-99999.0,-99999.0,-99999.0,-99999.0,0.013716812,320.0,55.0,0.34,0.73
35,4.9,4.9,73.0,16.0,0.01060918,0.0112082865,0.011742241,0.007245919,-99999.0,-99999.0,-99999.0,-99999.0,0.013140974,121.0,75.0,4.54,35.23
36,33.0,33.0,152.0,17.0,0.018992897,0.0182935,0.017580628,0.012631298,-99999.0,-99999.0,-99999.0,-99999.0,0.017466081,137.5,26.5,9.46,36.74
37,14.9,14.9,303.0,23.0,0.00695257,0.009216269,0.016375227,0.010544719,-99999.0,-99999.0,-99999.0,-99999.0,0.0101575,45.0,26.2,5.52,64.37
38,6.4,6.4,155.0,24.0,0.006685957,0.007458866,0.009696569,0.0057801725,-99999.0,-99999.0,-99999.0,-99999.0,0.024120206,58.0,15.0,0.35,1.46
39,14.9,14.9,303.0,23.0,0.0069606607,0.009208477,0.016359683,0.010537373,-99999.0,-99999.0,-99999.0,-99999.0,0.01016473,45.0,26.2,5.52,64.37
40,0.8,0.8,174.0,21.0,0.0057728207,0.0066254116,0.007219094,0.0041725705,-99999.0,-99999.0,-99999.0,-99999.0,0.008061405,32.0,17.0,6.24,10.33
41,33.0,33.0,152.0,17.0,0.018992899,0.01829339,0.017580636,0.0126313,-99999.0,-99999.0,-99999.0,-99999.0,0.017444238,137.5,26.5,9.46,36.74
42,6.5,6.5,44.0,24.0,0.009898511,0.010454427,0.011337219,0.0077637206,-99999.0,-99999.0,-99999.0,-99999.0,0.012346586,1031.0,49.0,3.82,9.63
43,9.0,9.0,304.0,25.0,0.01199609,0.012683603,0.014940563,0.008673057,-99999.0,-99999.0,-99999.0,-99999.0,0.00689419,3357.0,48.0,6.93,42.56
44,12.9,12.9,223.0,23.0,0.010033462,0.010235589,0.0097211255,0.007000065,-99999.0,-99999.0,-99999.0,-99999.0,0.01366302,45.0,9.5,0.07,0.3
45,0.6,0.6,235.0,18.0,0.010087987,0.0103148,0.009779493,0.006259328,-99999.0,-99999.0,-99999.0,-99999.0,0.01205393,506.0,76.1,0.39,5.39
46,1.0,1.0,215.0,22.0,0.008293778,0.008884389,0.0087667005,0.0061563724,-99999.0,-99999.0,-99999.0,-99999.0,0.0113670025,572.0,23.0,4.09,0.0
47,12.7,12.7,195.0,17.0,0.009811004,0.010112296,0.010690253,0.007490907,-99999.0,-99999.0,-99999.0,-99999.0,0.019652264,58.0,37.7,7.92,1.86
48,1.0,1.0,167.0,24.0,0.016084759,0.021652505,0.008324048,0.0066500525,-99999.0,-99999.0,-99999.0,-99999.0,0.03490205,38.0,45.3,1.18,0.0
49,3.6,3.6,294.0,16.0,0.009282595,0.009299128,0.009581924,0.006213346,-99999.0,-99999.0,-99999.0,-99999.0,0.014067305,26.0,29.5,5.39,15.57
50,21.2,21.2,208.0,16.0,0.010221564,0.011122462,0.014160441,0.009026764,-99999.0,-99999.0,-99999.0,-99999.0,0.017662425,128.0,46.6,36.56,0.19
51,1.5,1.5,9.0,20.0,0.005359843,0.0065504895,0.0068079443,0.0050628325,-99999.0,-99999.0,-99999.0,-99999.0,0.008107452,378.0,21.0,9.12,0.6
